Study,Equipment,Component,EmissionsKgD
Allen2013,OTH,TC,0.131458533
Allen2013,OTH,VL,1.588350314
Allen2013,OTH,VL,0.582395115
Allen2013,OTH,REG,0.238252547
Allen2013,WG,TC,0.341020687
Allen2013,OTH,OEL,2.522413912
Allen2013,OTH,OEL,0.499227753
Allen2013,OTH,OEL,0.367852029
Allen2013,OTH,OEL,0
Allen2013,SE,VL,0.551778043
Allen2013,SE,VL,7.593516882
Allen2013,SE,PRV,0.315301739
Allen2013,SE,REG,5.255028984
Allen2013,SE,TC,0
Allen2013,SE,REG,6.51623594
Allen2013,SE,OTH,2.969125051
Allen2013,WG,OEL,0.42245597
Allen2013,SE,VL,0.290438479
Allen2013,SE,TC,0.84491194
Allen2013,WG,REG,1.157126577
Allen2013,OTH,REG,0.631159951
Allen2013,SE,VL,1.520036042
Allen2013,VRU,REG,2.480027541
Allen2013,OTH,TC,1.524560147
Allen2013,VRU,REG,0.320079515
Allen2013,OTH,REG,3.638798695
Allen2013,OTH,REG,1.398242091
Allen2013,OTH,REG,0.252694354
Allen2013,OTH,VL,0.62331274
Allen2013,OTH,VL,0.101077742
Allen2013,SE,REG,1.161122365
Allen2013,SE,REG,1.345846377
Allen2013,OTH,VL,3.622884553
Allen2013,HE,VT,4.620490445
Allen2013,OTH,TC,0.210022293
Allen2013,WG,OTH,0.344142568
Allen2013,OTH,OTH,1.614822819
Allen2013,SE,OTH,6.988741382
Allen2013,OTH,REG,2.122432452
Allen2013,ST,OTH,0.203346822
Allen2013,VRU,OTH,2.490998566
Allen2013,VRU,OTH,0.444821173
Allen2013,OTH,OTH,0
Allen2013,SE,OTH,3.858546022
Allen2013,WG,TC,2.205234076
Allen2013,OTH,OTH,3.266902298
Allen2013,WG,OTH,0
Allen2013,WG,VL,0.026250578
Allen2013,OTH,PRV,8.216431036
Allen2013,OTH,TC,19.68188822
Allen2013,WG,VL,4.685535713
Allen2013,OTH,VL,1.006598345
Allen2013,WG,TC,1.27653647
Allen2013,WG,VL,0.158164282
Allen2013,SE,OTH,6.669260573
Allen2013,SE,OTH,1.660724965
Allen2013,SE,REG,1.183287447
Allen2013,SE,OTH,0.569568075
Allen2013,SE,VL,0.341740845
Allen2013,OTH,REG,5.467853517
Allen2013,WG,VL,0.417359381
Allen2013,SE,F,0.156653855
Allen2013,WG,VL,4.960705404
Allen2013,SE,OTH,1.33739908
Allen2013,SE,TC,2.575731561
Allen2013,SE,TC,2.105165218
