Component,Mass rate [kg/d]
VALVE,0.556984175
VALVE,0.558891296
VALVE,0.581642134
VALVE,0.592823101
VALVE,0.60166317
VALVE,0.621781431
VALVE,0.631937788
VALVE,0.68061052
VALVE,0.728146457
VALVE,0.731863475
VALVE,0.742887385
VALVE,0.814041713
VALVE,0.847352768
VALVE,0.87335693
VALVE,0.91108802
VALVE,0.992249126
VALVE,0.998508972
VALVE,1.086490843
VALVE,1.140825108
VALVE,1.151998596
VALVE,1.18319312
VALVE,1.275378137
VALVE,1.42441781
VALVE,1.468887395
VALVE,1.579956654
VALVE,2.603415263
VALVE,3.041911102
VALVE,3.125906715
VALVE,3.250258514
VALVE,3.533888611
VALVE,3.726739726
VALVE,4.571205636
VALVE,4.677585619
VALVE,4.753055277
VALVE,6.299364325
VALVE,7.262961756
VALVE,13.50888181
VALVE,18.73449187
OEL,0.000583355
OEL,0.00159383
OEL,0.001877206
OEL,0.002153925
OEL,0.007090005
OEL,0.007172273
OEL,0.009294787
OEL,0.014075304
OEL,0.014171034
OEL,0.015170216
OEL,0.016711619
OEL,0.019415245
OEL,0.019804148
OEL,0.035806767
OEL,0.03615304
OEL,0.048174636
OEL,0.059599416
OEL,0.081333122
OEL,0.09798117
OEL,0.110859849
OEL,0.111929333
OEL,0.132623471
OEL,0.139705997
OEL,0.145666686
OEL,0.152502408
OEL,0.194369333
OEL,0.195498648
OEL,0.222721873
OEL,0.327404144
OEL,0.358598668
OEL,0.702665819
OEL,1.208748548
OEL,0.000658144
OEL,0.003062014
OEL,0.043631948
OEL,0.077055186
OEL,4.48734E-05
OEL,0.000224367
OEL,0.000291677
OEL,0.000299156
OEL,0.000501087
OEL,0.000683737
OEL,0.000800243
OEL,0.000837638
OEL,0.001316288
OEL,0.001473345
OEL,0.001488303
OEL,0.002290789
OEL,0.002453082
OEL,0.003387945
OEL,0.003917227
OEL,0.004823895
OEL,0.007733191
OEL,0.009505692
OEL,0.009759975
OEL,0.011898942
OEL,0.014405124
OEL,0.015638396
OEL,0.016528386
OEL,0.023513686
OEL,0.024456028
OEL,0.033535422
OEL,0.037888147
OEL,0.044183891
OEL,0.057774562
OEL,0.06573212
OEL,0.068017674
OEL,0.072687504
OEL,0.084062923
OEL,0.091706367
OEL,0.096089007
OEL,0.100628704
OEL,0.110964554
OEL,0.129265441
OEL,0.133274136
OEL,0.14823943
OEL,0.195027477
OEL,0.223753962
OEL,0.322916799
OEL,0.445129631
OEL,0.793078334
OEL,0.845071701
OEL,0.949170618
OEL,1.14395877
OEL,2.497394266
OEL,3.235278262
OEL,11.97888426
PRV,0.338368223
PRV,6.004710319
OTHER,6.556489174
OTHER,0.00465936
OTHER,0.298318672
OTHER,0.056884572
OTHER,0.003471185
OTHER,0.712306131
OTHER,0.725110021
OTHER,0.777656827
OTHER,0.281767849
OTHER,0.298326151
OTHER,0.013529344
OTHER,0.014264521
OTHER,0.017419872
OTHER,0.017564215
OTHER,0.019694208
OTHER,0.029112396
OTHER,0.157969489
OTHER,0.159644765
OTHER,0.567035827
OTHER,0.639087624
OTHER,2.652245051
OTHER,20.62458387
OTHER,0.0058859
OTHER,0.035479938
