3.3461,1.4703
Inf,3.5486
2.5015,1.1076
3.3524,1.6207
2.6868,NaN
2.123,0.67623
7.8799,4.1915
5.616,NaN
2.6193,NaN
NaN,NaN
2.0206,1.2675
8.8386,NaN
Inf,Inf
Inf,Inf
0.10127,4.4429
