0.77082,1.6333,4.5966,3.5457,0.59024,0.60206,3.135,1.4492
Inf,Inf,NaN,Inf,0.74642,1.5012,9.0945,4.0408
0.46596,0.83721,3.0864,2.2888,0.43786,0.41676,2.6494,1.1635
0.72364,1.8096,5.2573,4.0347,0.54468,0.6412,3.269,1.5201
0.58662,1.2826,3.915,2.9815,NaN,NaN,NaN,NaN
0.23701,0.29742,1.3639,0.9857,0.32958,0.292,1.7112,0.76665
0.35562,2.0273,11.098,7.8816,0.31401,1.0836,10.12,4.106
0.88737,2.4368,7.6113,5.7763,NaN,NaN,NaN,NaN
0.7256,1.8284,4.4648,3.5298,NaN,NaN,NaN,NaN
0.94327,3.3094,6.6838,5.4872,0.84614,2.0306,6.6592,3.5787
0.53353,1.9113,3.2839,2.7971,0.9049,1.4322,3.2394,2.0367
0.99835,4.4726,11.137,8.774,NaN,NaN,NaN,NaN
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
0.002042,0.000465,0.12402,0.080208,0.078747,0.23062,10.473,3.6563
0.031298,0.1421,0.12224,0.12929,0.058268,0.092959,2.0733,0.7553
