0.77019,1.6088,4.3071,3.3502,0.59514,0.57555,2.8331,1.3306
Inf,Inf,NaN,Inf,0.74883,1.5357,8.4744,3.8564
0.47497,0.87009,2.6831,2.0402,0.43474,0.39885,2.2405,1.0148
0.72169,1.7097,4.8315,3.7245,0.53644,0.63774,3.2928,1.5257
0.58643,1.3293,3.3947,2.6623,NaN,NaN,NaN,NaN
0.23427,0.2896,1.0011,0.7488,0.32795,0.29467,1.3157,0.63616
0.35616,2.1198,11.037,7.8747,0.31155,1.1087,10.013,4.0869
0.87389,2.484,6.8944,5.3304,NaN,NaN,NaN,NaN
0.71844,1.7518,3.8947,3.1348,NaN,NaN,NaN,NaN
0.95218,3.3561,6.99,5.7014,0.86622,2.0442,7.3334,3.8132
0.53353,1.917,3.2249,2.7611,0.9049,1.4315,3.158,2.0089
0.99835,4.4606,11.224,8.8258,NaN,NaN,NaN,NaN
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
0.0022007,0.00014185,0.2413,0.15578,0.078377,0.14359,18.348,6.2322
0.94925,4.3136,3.0241,3.4814,0.96617,1.5659,41.516,14.927
