O/G,n_VENT,TB_VRU,TB_VENT,TB_FLARE,TB_DUMP,n_DUMP
Oil,0,0,,0.017552895,,0
Oil,0,,,0.009813714,,0
Oil,0,,,0.684931507,,0
Oil,8,,0.044520548,,,0
Oil,0,,,0.171084118,,0
Oil,4,,0.79369863,0.027296661,,0
Oil,0,,,0.666666667,,0
Oil,0,,,0.149130818,,0
Oil,0,10.24068493,,0.154091721,,0
Oil,2,0,36.16438356,0.129375951,,0
Oil,0,,,0.237442922,,0
Oil,0,,,0.00761035,,0
Oil,0,0.938215068,,,,0
Oil,0,0.560493151,,,,0
Oil,0,0,,0.052977774,,0
Oil,4,0,1.246568493,0.000922374,,0
Oil,0,,,0.003561644,,0
Oil,19,,0.372155732,0.187026552,,0
Oil,2,,3.053150685,,,0
Oil,3,,0.20784274,,,0
Oil,3,,0.843839361,,,0
Oil,1,,9.315068493,,,0
Oil,19,0,13.24716653,,,0
Oil,4,,108.130137,,,0
Oil,6,,2.056230822,,,0
Gas,0,,,0.733929247,,0
Gas,0,,,0.018704475,,0
Gas,0,,,0.000283493,,0
Gas,9,,0.365296804,0.007070261,,0
Gas,0,,,0.151898175,,0
Gas,1,,0.129315068,0.113068058,,0
Gas,5,0,0,0,,0
Gas,0,,,0.003616438,,0
Gas,0,,,0.007392021,,0
Gas,1,,4.109589041,,,0
Gas,4,,0.089616438,0.010751712,,0
Gas,0,,,0.068985163,,0
Gas,0,,,0.401753425,,0
Gas,0,,,0.079383875,,0
Gas,7,,0.139804305,0.024657534,,0
Gas,18,,2.820700152,0.055403349,,0
Gas,0,,,0.051504201,,0
Gas,58,,0.037061469,0.03777816,,0
Gas,5,,0.081552822,0.034906675,,0
Gas,3,,1.079712237,0.253823542,,0
Gas,0,0,,0.058559596,,0
Gas,0,0.279671233,,,,0
Gas,0,,,0.00406749,,0
Gas,0,,,,,0
Gas,0,,,0.000756895,,0
Gas,0,,,0.438356164,,0
Gas,3,,0,0,,0
Gas,0,,,0.047160852,,0
Gas,47,,9.424657534,0.184669193,,0
Gas,0,,,0.080522159,,0
Gas,5,,0.010958904,0,,0
Gas,17,,0.617153586,0.196168791,,0
Gas,11,,0.388628917,0.033229229,,0
Gas,12,,0.489919703,0.382359799,,0
Gas,0,,,0.517025955,,0
Gas,0,,,0,,0
Gas,2,,1.762411918,,,0
Gas,4,,3.01369863,,,0
Gas,1,,78.09796959,,,0
Gas,0,,,0.018669521,,0
Gas,8,,0.034246575,,,0
Gas,0,,,0.024226137,,0
Gas,0,,,0.00543074,,0
Gas,0,,,0.053556226,,0
Gas,21,,2.850969602,,,0
Gas,2,,6.748452055,0.156797945,,0
Gas,31,,2.314330446,0.485228219,,0
Gas,2,,8.609319863,,,0
Gas,8,,6.476455514,,,0
Gas,12,,3.851598174,,,0
Gas,2,,7.354932877,,,0
Gas,8,,1.464936541,,,0
Gas,4,,0.583589041,,,0
Gas,3,,1.991068493,,,0
Gas,2,,0.906871233,,,0
Gas,0,,,0.00334623,,0
Gas,34,,2.180487027,,,0
Gas,39,,3.369413144,0.28384137,,0
Gas,0,0,,0.083377626,,0
Gas,3,,131.9171689,1.111767397,,0
Gas,0,,,0.046210046,,0
Gas,2,,0.751528767,,,0
Gas,1,,10.0063937,,,0
Gas,3,0.401826484,5.132420091,,,0
Gas,7,0.384752829,4.403131115,0.022785388,,0
Gas,8,,2.990606233,,,0
Gas,3,,4.715708311,,,0
Gas,21,,4.401826484,,,0
Gas,58,,3.453778975,0.338930342,,0
Gas,2,,0.068575342,,,0
Oil,5,,3.755013699,,,0
Oil,9,,1.912609833,,,0
Oil,1,,236.7123288,,,0
Oil,5,,0.782114192,0.054897306,,0
Oil,2,,4.036438302,0.083030139,,0
Oil,4,,0.263635,,,0
Oil,4,,1.764229247,,,0
Oil,38,,1.467440317,,,0
Oil,0,,,0.030504817,,0
Oil,4,,0.054794521,,,0
Oil,0,,,0.011239726,,0
Oil,0,,,0.084593509,,0
Oil,0,9.511599947,,0.676873489,,0
Oil,3,0,4.657534247,0.065102401,,0
Oil,0,0,,0.611872146,,0
Oil,0,,,0.01369863,,0
Oil,1,0,179.2088753,0.20513062,,0
Oil,0,0,,0.177021319,,0
Oil,0,,,0.199194942,,0
Oil,0,,,0.273972603,,0
Oil,0,,,2.343987823,,0
Oil,10,0,0.548769863,0.023485975,,0
Oil,0,,,0.808560685,,0
Oil,2,,5.205479452,0.136986301,,0
Oil,0,,,0.025163405,,0
Oil,0,,,0.008704041,,0
Oil,8,0,62.02054795,0.134161842,,0
Oil,0,,,0.05303653,,0
Oil,0,0,,0.290715373,,0
Oil,0,0.089421233,,0.027342421,,0
Oil,0,0,,0.085223945,,0
Oil,0,,,0.023019708,,0
Oil,0,,,0.074246575,,0
Oil,0,0,,0.587623996,,0
Oil,2,,0.450706438,,,0
Oil,6,,0.335303379,,,0
