O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Oil,104,0.042465753,
Gas,260,0.095890411,
Gas,42,0.228310502,
Gas,1,11.23287671,
Gas,1,5.753424658,
Gas,1,30.4109589,
Gas,1,1.123287671,
Gas,2,0.023145205,
Oil,1,0.220931507,
Oil,2,0.110465753,
Oil,2,0.46290411,
Gas,1,5.554849315,
Gas,5,0.044186301,
Oil,1,7.397260274,
Gas,26,0.113804004,
Gas,35,0.074363992,
Gas,58,0.009919698,
Gas,21,0.221787345,
Oil,1,23.28767123,
Oil,5,1.863013699,
Oil,2,2.328767123,
Oil,1,486.0273973,
Gas,25,17.88493151,
Gas,23,0.833829661,
Gas,1,136.1643836,
Gas,7,136.0861057,
Gas,49,0.013526419,
Oil,3,0.220931507,
Oil,4,15.2739726,
Gas,60,5.153881279,
Gas,332,0.100388843,
Gas,68,0,
Oil,0,,
Oil,0,,
Oil,0,,
Oil,0,,
Gas,6,20.47488584,
Oil,556,0.220952006,
Oil,556,0.005026116,
Gas,6,23.60730594,
Gas,153,0.00608828,
Gas,1,52.76712329,
Gas,93,0.189129474,
Gas,38,2.923576063,
Gas,343,0.005431527,
Gas,2,10.17808219,
Gas,25,12.81315068,
Gas,921,0.00803177,
Gas,9,5.452054795,
Gas,54,0.120243531,
Gas,10,2.408219178,
Gas,40,2.01369863,
Gas,313,0.04437831,
Gas,18,0.103500761,
Gas,4,1.157534247,
Gas,15,1.543378995,
Gas,76,0.060922855,
Gas,6,1.082191781,
Gas,11,3.942714819,
Gas,68,0.02739726,
Gas,2,2.315068493,
Gas,14,0.066536204,
Gas,2,29.63013699,
Gas,71,0.078333012,
Gas,12,0.077625571,
Gas,2,8.328767123,
Gas,25,0.185205479,
Gas,7,0.266144814,
Gas,4,2.547945205,
Gas,12,0.385844749,
Gas,5,6.295890411,
Gas,45,0.041400304,
Gas,2,0.95890411,
Gas,3,2.739726027,
Gas,9,0.213089802,
Oil,18,2.831050228,
Gas,111,0.192521288,
Gas,29,0.028341993,
Gas,1,1.917808219,
Gas,3,7.123287671,
Gas,27,0.152207002,
Oil,28,0.066536204,
Oil,4,0.006849315,
Oil,3,0.091324201,
Oil,1,4.657534247,
Oil,24,0.02283105,
Oil,3,0.273972603,
Oil,4,0.068493151,
Oil,1,1.643835616,
Oil,11,0.01992528,
Oil,2,0.767123288,
Oil,14,0,
Oil,0,,
Oil,3,0.146118721,
Oil,4,0,
Oil,0,,
Oil,2,0,
Oil,0,,
Oil,0,,
Oil,4,0.164383562,
Gas,2,0,
Gas,277,0.130656248,
Gas,13,0.13597471,
Oil,22,0.042092154,
Gas,1,0.221369863,
Oil,3,2.777424658,
Gas,9,9.052347032,
Gas,88,0.778520548,
Gas,74,0.012510922,
Gas,0,,
Gas,39,0.047477345,
Gas,2,1.388712329,
Gas,4,2.083068493,
Gas,9,0.372451568,
Oil,29,0.064241852,
Gas,2,0.109589041,
Oil,1,2.777424658,
Gas,21,0.925808219,
Gas,39,0.023738672,
Gas,3,1.851616438,
Gas,1,28.05479452,
Oil,264,0.003113325,
Gas,1,40.82191781,
Gas,82,0.260608086,
Gas,33,0.083022001,
Gas,6,0.0456621,
Oil,2,30.54794521,
Gas,121,0.013585418,
Oil,29,0.028341993,
Gas,2,0.95890411,
Gas,5,9.260273973,
Gas,56,0.014677104,
Oil,2,42.19178082,
Gas,138,0.001985309,
Gas,0,,
Oil,84,0.153294194,
Gas,28,2.583170254,
Gas,151,0.51528622,
Gas,127,0.189839284,
Gas,44,1.095890411,
Gas,129,0.050971647,
Gas,7,0.939334638,
Gas,0,,
Oil,0,,
Gas,1,2.421917808,
Oil,5,0.37260274,
Oil,6,0.518721461,
Gas,4,0.194520548,
Gas,1,32.40328767,
Gas,35,0.608388258,
Gas,23,0.437288862,
Oil,45,9.557794825,
Gas,880,0.00210411,
Gas,5,0.185161644,
Gas,2,0.662794521,
Oil,16,1.678027397,
Gas,75,0.01234411,
Gas,1,0.925808219,
Gas,1,3.703232877,
Gas,10,62.8630137,
Gas,228,0.012136506,
Gas,3,0.294575342,
Oil,7,0.725917808,
Oil,41,0.343252122,
Gas,64,0.274849315,
Gas,15,2.468821918,
Gas,31,1.104996907,
Gas,9,0.091324201,
Gas,2,3.287671233,
Gas,9,0.091324201,
Oil,18,0.152207002,
Gas,6,0.913242009,
Gas,12,0.228310502,
Gas,7,0.821917808,
Oil,73,0.112591481,
Gas,11,0.0498132,
Oil,6,0.0456621,
Oil,2,0.273972603,
Oil,20,0.095890411,
