OG,N_WELL,N_TANK
Oil,2,5
Gas,48,55
Oil,6,6
Gas,8,18
Gas,11,33
Gas,115,124
Oil,42,84
Oil,48,48
Oil,28,83
Oil,977,2245
Gas,356,499
Gas,251,192
Gas,78,224
Oil,110,178
Oil,1927,1275
Gas,163,392
Oil,79,158
Oil,10,15
Oil,75,172
Gas,930,482
Gas,43,101
Oil,84,170
Gas,293,1431
Oil,205,108
Gas,568,211
Gas,119,222
Oil,105,3
Gas,104,60
#N/A,27,17
Oil,6,17
Gas,30,77
Gas,488,388
Gas,32,30
Gas,110,185
Oil,1,2
Oil,138,44
Oil,95,122
Oil,7,7
Oil,6,7
Gas,400,392
Oil,284,647
Oil,29,107
Oil,345,340
Gas,233,167
Oil,19,29
Gas,330,330
Oil,7,7
Gas,366,48
Gas,86,43
Gas,263,202
Gas,102,108
Gas,136,48
Gas,99,19
Gas,144,147
Gas,148,255
Gas,157,75
Oil,23,32
Oil,13,32
Gas,621,744
Gas,57,70
Oil,22,73
Gas,271,108
Gas,173,255
Gas,2,2
Oil,36,64
Oil,160,160
Oil,50,77
Oil,12,38
Gas,302,302
Oil,97,17
