O/G,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,0.00803177,
Gas,5.452054795,
Gas,0.120243531,
Gas,2.408219178,
Gas,2.01369863,
Gas,0.04437831,
Gas,0.103500761,
Gas,1.157534247,
Gas,1.543378995,
Gas,0.060922855,
Gas,1.082191781,
Gas,3.942714819,
Gas,0.02739726,
Gas,2.315068493,
Gas,0.066536204,
Gas,29.63013699,
Gas,0.078333012,
Gas,0.077625571,
Gas,8.328767123,
Gas,0.185205479,
Gas,0.266144814,
Gas,2.547945205,
Gas,0.385844749,
Gas,6.295890411,
Gas,0.041400304,
Gas,0.95890411,
Gas,2.739726027,
Gas,0.213089802,
Oil,2.831050228,
Gas,0.192521288,
Gas,0.028341993,
Gas,1.917808219,
Gas,7.123287671,
Gas,0.152207002,
Oil,0.066536204,
Oil,0.006849315,
Oil,0.091324201,
Oil,4.657534247,
Oil,0.02283105,
Oil,0.273972603,
Oil,0.068493151,
Oil,1.643835616,
Oil,0.01992528,
Oil,0.767123288,
Oil,0,
Oil,,
Oil,0.146118721,
Oil,0,
Oil,,
Oil,0,
Oil,,
Oil,,
Oil,0.164383562,
Gas,0,
Gas,0.130656248,
Gas,0.13597471,
Oil,0.042092154,
Gas,0.221369863,
Oil,2.777424658,
Gas,9.052347032,
Gas,0.778520548,
Gas,0.012510922,
Gas,,
Gas,0.047477345,
Gas,1.388712329,
Gas,2.083068493,
Gas,0.372451568,
Oil,0.064241852,
Gas,0.109589041,
Oil,2.777424658,
Gas,0.925808219,
Gas,0.023738672,
Gas,1.851616438,
Gas,28.05479452,
Oil,0.003113325,
Gas,40.82191781,
Gas,0.260608086,
Gas,0.083022001,
Gas,0.0456621,
Oil,30.54794521,
Gas,0.013585418,
Oil,0.028341993,
Gas,0.95890411,
Gas,9.260273973,
Gas,0.014677104,
Oil,42.19178082,
Gas,0.001985309,
Gas,,
Oil,0.153294194,
Gas,2.583170254,
Gas,0.51528622,
Gas,0.189839284,
Gas,1.095890411,
Gas,0.050971647,
Gas,0.939334638,
Gas,,
Oil,,
Gas,2.421917808,
Oil,0.37260274,
Oil,0.518721461,
Gas,0.194520548,
Gas,32.40328767,
Gas,0.608388258,
Gas,0.437288862,
Oil,9.557794825,
Gas,0.00210411,
Gas,0.185161644,
Gas,0.662794521,
Oil,1.678027397,
Gas,0.01234411,
Gas,0.925808219,
Gas,3.703232877,
Gas,62.8630137,
Gas,0.012136506,
Gas,0.294575342,
Oil,0.725917808,
Oil,0.343252122,
Gas,0.274849315,
Gas,2.468821918,
Gas,1.104996907,
Gas,0.091324201,
Gas,3.287671233,
Gas,0.091324201,
Oil,0.152207002,
Gas,0.913242009,
Gas,0.228310502,
Gas,0.821917808,
Oil,0.112591481,
Gas,0.0498132,
Oil,0.0456621,
Oil,0.273972603,
Oil,0.095890411,
Gas,0.136986301,
Oil,0.273972603,
Gas,1.369863014,
Oil,1.074815595,
Gas,0.017675652,
Oil,2.808219178,
Gas,0.161160355,
Gas,0.091324201,
Oil,4.657534247,
Gas,0.523038605,
Oil,5.449643836,
Gas,0.050043688,
Gas,0.066129159,
Gas,0.925808219,
Gas,0.925808219,
Gas,25.92263014,
Gas,0.442787373,
Gas,0.185161644,
Gas,0.064755786,
Oil,0.087554338,
Oil,1.988383562,
Oil,0.218817335,
Oil,0.0304414,
Oil,0.044186301,
Oil,0.110465753,
Gas,16.79079452,
Gas,0,
Gas,2.004164384,
Gas,0.514053735,
Gas,6.571423046,
Gas,0.010520548,
Gas,9.234936986,
Oil,0.005111749,
Oil,0.747484932,
Oil,5.251141553,
Gas,2.808219178,
Gas,0.270001985,
Gas,0.295047418,
Gas,0.159817352,
Gas,19.8630137,
Gas,9.362035225,
Gas,1.532139094,
Gas,0.043487715,
Gas,0.639269406,
Gas,12.05479452,
Gas,3.493150685,
Gas,0.441826484,
Oil,18.00589041,
Oil,1.826484018,
Gas,0.665362035,
Gas,1.552511416,
Gas,1.01369863,
Gas,4.082191781,
Gas,0.602739726,
Gas,0.547945205,
Oil,2.739726027,
Oil,0.11741683,
Gas,1.917808219,
Gas,1.917808219,
Gas,54.52054795,
Gas,0.410958904,
Oil,0.195694716,
Oil,0.342465753,
Gas,1.315068493,
Gas,0.319634703,
Gas,10.50228311,
Gas,0.119423955,
Gas,0.11741683,
Oil,0.11741683,
Gas,30.68493151,
Gas,0.936073059,
Gas,5.557729941,
Gas,0.074719801,
Gas,0.273972603,
Oil,20.2739726,
Gas,0.810005956,
Oil,0.163832863,
Gas,0.547945205,
Gas,0.044189129,
Gas,2.054794521,
Gas,69.13242009,
Gas,0.005788154,
Gas,0.633547397,
Oil,0.00042515,
Oil,6.712109589,
Gas,0.284864067,
Gas,0,
Gas,,
Gas,0.028817153,
Oil,0.231452055,
Gas,2.777424658,
Gas,0.110465753,
Oil,1.190324853,
Gas,0.277742466,
Gas,0.925808219,
Gas,0.110465753,
Oil,0.46290411,
Gas,2.777424658,
Gas,10.18389041,
Gas,0.111096986,
Gas,0.33139726,
Oil,4.629041096,
Gas,0.347178082,
Gas,0.252493151,
Oil,1.388712329,
Gas,0.25716895,
Gas,2.777424658,
Gas,4.629041096,
Gas,5.554849315,
Gas,12.03550685,
Gas,1.851616438,
Gas,1.851616438,
Gas,4.629041096,
Gas,0.925808219,
Gas,22.21939726,
Gas,0.441863014,
Oil,1.851616438,
Gas,2.777424658,
Gas,0.547945205,
Oil,26.68949772,
Gas,0.000663372,
Oil,0.136986301,
Oil,176.4383562,
Gas,0.5960688,
Gas,0.030105217,
Gas,0.112229741,
Gas,0.121765601,
Oil,0.403749099,
Gas,0.042149631,
Oil,0.054794521,
Oil,0.383561644,
Gas,0.109589041,
Oil,45.13315068,
Gas,0.023738672,
Gas,1.94419726,
Oil,0.037147775,
Oil,0.008663981,
Oil,0.294575342,
Oil,0.386630137,
Oil,0.011835616,
Oil,1.031013699,
Oil,0.026511781,
Oil,0.086794521,
Oil,0.339726027,
Gas,1.587736464,
Gas,0.386630137,
Oil,0.084164384,
Oil,0.727232877,
Oil,0.027266863,
Oil,0.001416228,
Oil,1.325589041,
Oil,0.00143462,
Oil,1.712219178,
Oil,0.012624658,
Oil,0.006832933,
Oil,12.25249315,
Oil,6.44867E-05,
Oil,96.89950685,
Gas,0.022308632,
Gas,0.094684932,
Oil,13.5168,
Gas,0.048219178,
Gas,15.27583562,
Gas,0.122811294,
Gas,6.053361433,
Gas,0.034717808,
Gas,0.073643836,
Gas,0.110465753,
Gas,0.33139726,
Oil,0.220931507,
Gas,0.294575342,
Gas,0.16569863,
Gas,0.073643836,
Oil,0.441863014,
Gas,1.988383562,
Gas,0.035634114,
Gas,0.780273973,
Gas,0.05813987,
Gas,1.111671233,
Gas,0.007126823,
Gas,1.546520548,
Gas,0.073643836,
Gas,0.33139726,
Gas,1.215123288,
Gas,0.066279452,
Gas,2.35660274,
Gas,0.030860274,
Gas,3.356054795,
Gas,0.016994731,
Gas,0.220931507,
Gas,13.91868493,
Gas,0.016994731,
Gas,0.994191781,
Gas,0.025249315,
Oil,,
Gas,3.145643836,
Gas,0.063123288,
Oil,,
Gas,0.073643836,
Oil,1.851616438,
Gas,2.264383562,
Oil,0.631232877,
Gas,0.220931507,
Gas,1.546520548,
Oil,0.015780822,
Oil,0.220931507,
Oil,0.607561644,
Oil,0.010042341,
Oil,0.552328767,
Gas,0.265117808,
Oil,0.022093151,
Gas,0.220931507,
Oil,0.220931507,
Oil,0.110465753,
Oil,0.552328767,
Oil,0.662794521,
Oil,0,
Oil,,
Oil,,
Gas,0,
Oil,,
Oil,,
Oil,1.146739726,
Gas,0.491459883,
Oil,0,
Oil,,
Oil,0,
Oil,,
Oil,0.088210748,
Gas,1.911232877,
Oil,0,
Oil,,
Gas,,
Gas,,
Oil,0.543831401,
Gas,0.478684932,
Gas,0.001726027,
Oil,0.110465753,
Gas,0.33139726,
Gas,0.073643836,
Gas,0.33139726,
Gas,0.736438356,
Gas,0.055232877,
Gas,0.022093151,
Gas,0.110465753,
Gas,0.082849315,
Oil,0.220931507,
Oil,0.088372603,
Oil,4.011835616,
Gas,0.397676712,
Oil,1.656986301,
Oil,2.927342466,
Oil,33.2870137,
Oil,0.136241096,
Oil,0.828493151,
Oil,3.424438356,
Oil,0.913183562,
Oil,2.430246575,
Oil,32.03506849,
Oil,0.294575342,
Oil,4.750027397,
Oil,0.773260274,
Oil,4.050410959,
Oil,0.652518637,
Oil,3.682191781,
Oil,0.469479452,
Oil,1.251945205,
Oil,0,
Oil,0.220931507,
Oil,0,
Oil,0.441863014,
Oil,0,
Oil,0.110465753,
Oil,1.656986301,
Oil,0.33139726,
Gas,0,
Oil,0.33139726,
Oil,0.957369863,
Oil,0.938958904,
Gas,0.014253646,
Gas,,
Oil,,
Gas,0.018410959,
Oil,0.073643836,
Gas,0.662794521,
Oil,0,
Oil,,
Oil,0,
Oil,2.651178082,
Oil,0.20456621,
Gas,0.334553425,
Oil,0.063123288,
Gas,2.606991781,
Oil,0,
Oil,,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,0.003506849,
Gas,13.25589041,
Gas,0,
Gas,,
Gas,0.092648696,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,2.430246575,
Gas,0,
Gas,,
Gas,,
Gas,0,
Gas,,
Gas,0,
Gas,,
Gas,,
Gas,,
Gas,0.195694716,
Gas,9.424657534,
Gas,0.037604083,
Gas,0.931506849,
Gas,62.02739726,
Gas,0.015458789,
Gas,2.164383562,
Gas,1.405927771,
Gas,0.091528767,
Gas,0.030827652,
Oil,0.276164384,
Oil,0.028405479,
Oil,2.221939726,
Gas,6.09490411,
Gas,0.002510585,
Oil,50.91945205,
Gas,0.657025188,
Gas,0.154109589,
Gas,0.116438356,
Oil,0.931506849,
Gas,5.561643836,
Oil,0.505603985,
Gas,0.266144814,
Oil,0.465753425,
Gas,9.273972603,
Gas,0.022015656,
Gas,11.80479452,
Gas,2.269137792,
Gas,0.060164384,
Gas,0.334668072,
Gas,0.197027106,
Gas,0.578767123,
Gas,0.389041096,
Gas,12.12393999,
Gas,0.01011208,
Gas,0.617579909,
Gas,1.938356164,
Gas,0.001648743,
Oil,12.96131507,
Gas,0.667443135,
Gas,0.014465753,
Gas,3.703232877,
Gas,0.055232877,
Oil,3.698630137,
Gas,2.547945205,
Gas,1.099315068,
Gas,0.051750381,
Gas,74.05479452,
Gas,0.0453935,
Gas,0.794520548,
Gas,0.054794521,
Oil,0.328767123,
Oil,0.043835616,
Oil,0.043835616,
Oil,5.670575342,
Oil,0.031561644,
Oil,0.060254047,
Oil,3.608547945,
Oil,0.243475538,
Oil,0.028639269,
Oil,0.915287671,
Oil,0.266641474,
Oil,0.012624658,
Oil,1.656986301,
Oil,0.014728767,
Oil,0.441863014,
Oil,0.036821918,
Oil,3.394630137,
Gas,0.140592777,
Oil,3.174199609,
Gas,0.099193738,
Oil,0.019287671,
Gas,0.33139726,
Oil,0.264516634,
Gas,0.16569863,
Oil,0.294575342,
Oil,0.036821918,
Oil,0.110465753,
Oil,0.30860274,
Gas,2.314520548,
Gas,0.370323288,
Gas,0.925808219,
Gas,0.110465753,
Oil,7.406465753,
Gas,0.198838356,
Oil,0.077150685,
Gas,0.220931507,
Oil,0.110465753,
Oil,3.240328767,
Gas,0.013808219,
Oil,0.220931507,
Oil,0.231452055,
Gas,6.480657534,
Gas,0.084164384,
Gas,0.925808219,
Gas,0.110465753,
Oil,5.554849315,
Gas,6.09490411,
Gas,0.002510585,
Oil,5.97260274,
Oil,0.565702689,
Gas,0.022178735,
Gas,222.1917808,
Gas,0.003350744,
Gas,0.767123288,
Oil,0.046575342,
Gas,0.445205479,
Oil,0,
Oil,,
Oil,0,
Oil,0,
Oil,,
Oil,,
Oil,,
Oil,0.259589041,
Oil,0.100249066,
Gas,0.306849315,
Gas,0.132258317,
Gas,4.629041096,
Gas,0.370323288,
Gas,0.110465753,
Oil,0.220931507,
Oil,12.69016932,
Gas,0.00185275,
