O/G,N_WELL,N_TANK
Gas,10,38
Gas,2,6
Gas,1,2
Gas,5,13
Oil,7,14
Oil,31,62
Oil,79,570
Gas,1,6
Gas,18,29
Gas,1,4
Gas,1,3
Gas,42,66
Gas,2,8
Gas,1,3
Gas,2,4
Gas,3,7
Gas,5,21
Oil,1,2
Oil,11,60
Gas,2,3
Gas,1,0
Gas,14,30
Oil,78,31
Oil,65,120
Oil,6,8
Gas,2,4
Gas,5,2
Gas,3,5
Gas,4,6
Gas,10,20
Gas,0,1
Gas,1,2
Gas,5,8
Gas,10,8
Gas,5,8
Gas,0,24
Gas,74,120
Gas,2,8
Gas,1,3
Gas,17,0
Gas,7,32
Gas,1,6
Gas,1,4
Gas,2,10
Oil,128,237
Oil,1043,1847
Oil,67,177
Oil,33,154
Oil,1,341
Oil,87,327
Oil,120,297
Oil,70,118
Oil,0,0
Gas,1,1
Gas,1,1
Gas,1,1
Gas,18,29
Gas,6,15
Oil,218,15
Oil,210,21
Oil,486,35
Gas,1,1
Gas,1,2
Gas,1,1
Gas,1,3
Gas,2,6
Gas,2,3
Gas,3,3
Gas,178,11
Gas,1,2
Gas,4,12
Gas,1,3
Gas,1,2
Gas,1,2
Gas,2,4
Gas,2,4
Gas,37,152
Gas,2,7
Gas,10,34
Gas,7,21
Gas,2,5
Gas,26,83
Gas,18,74
Gas,5,14
Gas,1,4
Gas,1,2
Gas,4,12
Gas,1,41
Gas,1,4
Gas,1,5
Gas,63,189
Gas,11,45
Gas,61,61
Gas,103,203
Gas,20,176
Gas,33,34
Gas,8,24
Gas,8,8
Gas,6,37
Gas,11,11
Gas,57,239
Gas,60,61
Gas,4,4
Gas,22,66
Oil,20,6
Oil,2,7
Oil,30,89
Oil,13,60
Oil,56,420
Oil,8,27
Oil,3,9
Oil,15,17
Oil,3,9
Oil,15,42
Oil,7,46
Oil,1,2
Oil,8,48
Oil,6,24
Oil,97,309
Oil,2,4
Oil,2,6
Oil,5,26
Oil,33,157
Oil,6,17
Oil,1,3
Oil,14,71
Oil,2,6
Oil,2,8
Gas,2,6
Gas,4,12
Gas,49,156
Gas,16,35
Gas,12,40
Gas,4,15
Gas,10,30
Gas,3,8
Gas,18,67
Gas,1,2
Gas,8,30
Gas,27,114
Gas,1,3
Gas,2,6
Gas,25,95
Gas,3,7
Gas,34,120
Gas,2,7
Gas,5,31
Gas,1,2
Gas,2,4
Gas,67,252
Gas,1,4
Gas,3,15
Gas,2,8
Gas,2,6
Gas,6,32
Gas,12,94
Gas,8,31
Gas,1,5
Gas,0,102
Gas,12,39
Gas,24,134
Gas,156,522
Gas,2,16
Gas,8,44
Gas,1,3
Gas,7,35
Gas,3,9
Gas,1,3
Gas,1,2
Gas,4,8
Gas,5,15
Gas,3,8
Gas,27,74
Gas,4,16
Gas,1,5
Gas,37,136
Gas,1,11
Gas,40,80
Gas,2,4
Gas,3,13
Gas,3,12
Gas,3,1
Gas,32,19
Gas,22,8
Gas,1,1
Gas,47,187
Oil,1,6
Oil,5,4
Oil,2,3
Oil,205,460
Oil,3,18
Oil,46,29
Oil,8,2
Oil,178,384
Oil,1,6
Oil,42,25
Oil,1,2
Oil,50,160
Gas,1,2
Gas,3,5
Oil,7,8
Oil,3,2
Oil,8,11
Oil,1,3
Oil,19,23
Oil,1,2
Oil,4,8
Gas,1,2
Gas,2,3
Oil,0,2
Oil,391,31
Oil,1,2
Oil,119,4
Oil,972,4
Gas,2,3
Gas,518,83
Gas,648,2
Gas,4,6
Oil,8,36
Oil,2,6
Oil,2,5
Oil,1,4
Oil,18,1
Oil,2,8
Oil,5,19
Oil,1,2
Oil,2,3
Oil,1,2
Oil,23,17
Oil,42,59
Oil,58,15
Oil,3,8
Oil,19,1
Oil,1,2
Oil,2,2
Oil,2,4
Oil,3,4
Oil,1,15
Oil,27,4
Oil,694,5
Oil,433,1
Oil,0,0
Oil,0,0
Oil,55,5
Oil,10634,46
Oil,3216,15
Oil,1742,400
Oil,0,0
Oil,350,1
Oil,9,2
Oil,1,3
Oil,6,19
Gas,1,3
Gas,1,3
Oil,9,34
Gas,1,3
Gas,1,2
Oil,3,2
Oil,1,5
Oil,4,12
Oil,12,6
Gas,1,2
Gas,1,2
Gas,22,11
Gas,1,3
Gas,1,2
Gas,1,2
Gas,1,2
Gas,65,38
