O/G,N_WELL,N_TANK
Oil,8,24
Oil,3,5
Oil,12,25
Gas,2,3
Gas,3,3
Gas,1,2
Gas,7,7
Gas,2,2
Gas,29,54
Gas,15,32
Gas,37,66
Gas,1,2
Gas,19,4
Gas,45,16
Gas,2,8
Gas,34,23
Gas,24,24
Gas,26,45
Gas,1,3
Gas,1,1
Gas,5,4
Gas,1,2
Oil,22,14
Oil,1,2
Oil,2,4
Oil,1,3
Oil,3,9
Oil,2,6
Oil,4,12
Oil,5,12
Oil,6,11
Oil,112,65
Oil,1,2
Oil,5,5
Oil,2,4
Oil,1,2
Oil,1,3
Oil,2,3
Oil,2,6
Oil,26,29
Oil,65,44
Oil,1,5
Oil,3,2
Oil,7,28
Oil,2,2
Gas,1,1
Gas,5,8
Gas,2,6
Gas,11,11
Gas,16,16
Gas,2,6
Gas,1,0
Gas,6,27
Gas,1,2
Gas,1,2
Gas,21,6
Gas,68,1
Gas,115,12
Gas,1,3
Gas,62,4
Gas,15,2
Gas,7,7
Gas,28,61
Gas,25,3
Gas,2,4
Gas,3,2
Gas,2,3
Gas,2,2
Gas,2,6
Gas,21,5
Gas,29,6
Gas,6,2
Gas,2,3
Gas,258,258
Gas,371,36
Gas,5,5
Gas,6,6
Gas,1,2
Gas,15,236
Gas,15,15
Gas,9,16
Gas,9,9
Gas,11,34
Gas,118,29
Gas,4,10
Gas,15,10
Gas,465,4
Gas,5,8
Gas,2,2
Gas,5,10
Gas,1,2
Gas,1,3
Gas,3,2
Gas,1,2
Gas,2,6
Gas,9,3
Gas,1,2
Gas,25,48
Gas,1,1
Gas,3,3
Gas,8,19
Gas,1,1
Gas,21,7
Gas,2,7
Gas,1,1
Gas,20,20
Gas,16,16
Gas,3,3
Gas,1,3
Gas,16,16
Gas,58,18
Gas,45,421
Gas,9,24
Gas,20,29
Gas,2,5
Oil,51,2
Oil,1,2
Oil,1,2
Oil,3,3
Oil,2,5
Oil,55,9
Oil,4,2
Oil,137,274
Oil,394,108
Oil,1,2
Oil,10,20
Oil,1,7
Gas,1,1
Gas,1,1
Gas,1,2
Gas,1,1
Gas,1,1
Gas,1,1
Gas,1,1
Gas,1,1
Gas,2,2
Gas,3,9
Gas,1,6
Gas,117,18
Gas,1,0
Gas,7,2
Gas,15,32
Gas,152,16
Gas,3,4
Gas,1,1
Gas,1,2
Gas,3,2
Gas,14,2
Gas,2,3
Gas,7,13
Gas,1,3
Gas,8,5
Gas,8,16
Gas,302,7
Gas,2,4
Gas,5,7
Gas,4,8
Gas,500,4
Gas,169,8
Gas,3,3
Gas,5,11
Gas,57,99
Gas,2,4
Gas,2,4
Gas,37,4
Gas,4,4
Gas,33,50
Gas,1,1
Gas,6,21
Gas,4,10
Gas,28,4
Gas,2,4
Gas,2,2
Gas,2,2
Gas,2,2
Gas,9,9
Gas,1,4
Gas,27,8
Gas,65,1
Gas,78,9
Gas,69,69
Gas,257,23
Gas,3,3
Gas,55,55
Gas,40,125
Gas,2,3
Gas,8,94
Gas,7,3
Gas,6,2
Gas,1,2
Gas,27,27
Gas,5,10
Gas,26,62
Gas,1,1
Gas,416,5
Gas,1,7
Gas,48,2
Gas,138,23
Gas,1326,1326
Gas,1678,45
Gas,14,5
Gas,4,4
Gas,2,4
Gas,36,3
Gas,1,4
Gas,1,2
Gas,4,2
Gas,2,4
Gas,8,18
Gas,6,9
Gas,4,25
Gas,2,2
Gas,0,6
Gas,35,100
Gas,1,3
Gas,7,21
Gas,10,1
Gas,2,3
Gas,3,3
Gas,19,24
Gas,1,16
Oil,78,78
Gas,2,8
Gas,1,2
Gas,8,7
Gas,6,8
Gas,2,2
Gas,9,23
Gas,3,8
Gas,4,8
Gas,1,0
Gas,3,7
Gas,0,0
Gas,6,23
Gas,76,252
Gas,5,15
Gas,0,0
Gas,19,1
Gas,1,4
Gas,12,42
Gas,26,10
Gas,4,5
Oil,1,3
Oil,162,162
Oil,24,5
Oil,663,880
Oil,1,1
Oil,22,11
Oil,55,116
Oil,8,18
Oil,10,10
Oil,7,13
Oil,1,1
Oil,6,2
Oil,47,1
Oil,14,1
Oil,12,12
Oil,3,9
Oil,1,2
Oil,15,28
Oil,197,354
Oil,1,1
Oil,6,3
Oil,6,6
Oil,1,4
Oil,1,2
Oil,3,3
Oil,5,4
Gas,1,3
Gas,1,0
Oil,740,454
Oil,60,180
Oil,4,10
Oil,8,547
Oil,73,155
Oil,190,147
Oil,124,346
Oil,99,297
Oil,21,39
Oil,4,10
Oil,4,5
Oil,242,632
Oil,6,12
Gas,4,4
Oil,5,8
Oil,4,15
Oil,5,7
Oil,2,8
Oil,1,3
Oil,2,3
Oil,59,214
Oil,2,8
Oil,25,129
Oil,59,250
Oil,130,461
Oil,2,10
Oil,44,88
Oil,20,153
Oil,261,555
Oil,24,71
Oil,95,639
Oil,176,458
Oil,1,2
Oil,1,2
Oil,1,1
Oil,30,4
Gas,2,2
Gas,14,31
Gas,2,6
Gas,1,3
Gas,1,4
Gas,1,1
Gas,1,3
Gas,1,3
Gas,52,9
Gas,1438,308
Gas,55,239
Gas,6,9
Oil,3,9
Oil,1,2
Oil,1,1
Oil,29,90
Oil,87,362
Oil,1,11
Gas,2,2
Gas,59,118
Gas,1,7
Gas,2,5
Gas,1,2
Gas,25,75
Gas,1,3
Gas,1,1
Gas,2,4
Gas,135,274
Gas,4,20
Gas,2,3
Gas,1,1
Gas,19,57
Gas,1,2
Gas,18,57
Gas,2,5
Gas,44,30
Gas,1,2
Gas,1,2
Gas,23,1
Gas,1,1
Gas,6,19
Gas,49,31
Gas,4,13
Gas,159,150
Gas,2,4
Gas,20,40
Gas,1,2
Gas,1,4
Gas,16,52
Gas,25,65
Gas,3,4
Gas,5,3
Gas,1,1
Gas,8,16
Gas,153,306
Gas,1,3
Gas,1,2
Gas,14,26
Gas,1,2
Gas,12,43
Gas,23,43
Gas,1,3
Gas,9,27
Gas,2,3
Gas,1,5
Gas,24,48
Gas,53,114
Gas,206,319
Gas,1,4
Gas,6,19
Gas,22,66
Gas,4,7
Gas,2,12
Gas,5,8
Gas,1,3
Gas,131,921
Gas,1,2
Gas,2,4
Gas,12,12
Gas,21,63
