EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_NAME,EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_ID,EF_W_NGPNEUMATIC_PMP_UNITS.REPORTING_YEAR,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_NUM,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_DESC,EF_W_NGPNEUMATIC_PMP_UNITS.INDUSTRY_SEGMENT,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE_TOTAL_CO2_EMM,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_CH4_EMISSIONS,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_PNEUMATIC_PUMP_COUNT,EF_W_NGPNEUMATIC_PMP_UNITS.ESTIMATED_NUMBER_OF_HOURS
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.8,584.33,306,8760
Hess Corporation - 160A - Utica Basin,1011181,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Breitburn Operating LP 260 East Texas,1009811,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.2,47.4,22,8760
Badlands Energy  Inc.,1012013,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8,340.15,201,7299
SilverBow Resources  LLC - Basin 220,1009706,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,22.4,346.04,210,8760
Goodrich Petroleum Company  Basin 210 (Mid-Gulf Coast Basin),1011689,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.6,30.03,23,7554
BADAMI DEVELOPMENT FACILITY,1007807,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
EnverVest Operating L.L.C.- 430 HighMount Permian,1008475,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,85.2,1876.29,1094,8760
Denbury Onshore LLC 220 Gulf Coast,1008123,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.8,313.68,237,5516.8
Warren E&P  Inc.,1011616,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Chesapeake Operating LLC  350 - South Oklahoma Folded Belt,1008529,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.6,38.57,22,8499
EXCO Resources  Inc. - East Texas Basin #260,1008958,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.2,54.45,26,8760
Stone Energy 160A,1009802,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,2.4,2,6192
ConocoPhillips Permian (430),1007479,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.6,32.81,21,7527.48
Pioneer Natural Resources USA  Inc.  Permian,1008607,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Samson Exploration 220 Gulf Coast Basin,1008093,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.5,151.98,229,3081.0153263
EOG Resources  Inc. 507 Central Western Overthrust,1008395,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,227.6,1215.2,731,8690
Discovery Natural Resources LLC - 430 Permian Basin,1010294,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,10.67,6,8678
Lime Rock Resources Fort Worth Syncline (420),1007476,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Templar Operating LLC - 360 - Anadarko Basin,1010258,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.4,461.24,342,6477
XTO Energy Inc 360 Anadarko,1009143,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.8,56.87,31,8617.3225806
355 Chatauque Platform,1009264,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,4.77,3,8760
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,55.04,28,8760
Cook Inlet Energy Onshore Production,1011231,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
TEP Rocky Mountain  LLC - 595 Piceance basin,1008355,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,88.2,960.8,486,8760
Energen Resources 580 San Juan Basin,1008408,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,16.5,9,8760
ConocoPhillips' Williston (395),1007482,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.5,90.54,46,8040.4232609
Marathon Oil Corporation Williston Basin  AAPG Basin 395,1008173,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Amplify Operating Oklahoma  LLC.,1010701,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,72.3,58.3,43,7155
Naftex Operating Company,1009582,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
BREITBURN OPERATING LP-BASIN 507,1010319,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.4,46,60,3624
EP Energy E&P 430 Permian Basin,1007777,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.3,6.44,7,8384.4790419
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.5,121.4,72,8645.6
CRI 360 Anadarko,1008472,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.9,63.31,37,7918.8516665
BOC 220 Gulf Coast Basin Onshore,1008548,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.2,2.4,16,730
415 Strawn Basin DEC,1009276,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,116.2,1785,970,7968
Range Resources-Louisiana  Inc.-Basin 230 (Houston  TX),1011998,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.2,1.75,1,8760
ConocoPhillips Denver (540),1011387,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
420 Fort Worth Syncline DEC,1008289,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,144.4,3783.6,2180,8383
XTO Energy Inc 507 Central Western Overthrust,1008078,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.1,414.19,207,8463.7222222
SandRidge 430 Permian Basin,1008809,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,92.7,118.42,73,8760
Riviera Resources 360 Anadarko Basin Production Segment,1008306,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.1,102.85,122,3832.8360656
XTO Energy Inc 230 Arkla,1009082,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,19.6,266.1,156,7525.9913462
Southwest Royalties  Inc. - 430 Permian Basin,1006884,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,78.5,449.36,305,8760
Huntington Energy  L.L.C - 345 Arkoma Basin,1011700,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
American Energy - Permian Basin  LLC,1011394,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,12.8,635.83,412,8760
Antero Resources - 160A - Appalachian Basin (Eastern Overthurst Area),1010183,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Encana Oil & Gas - Mid-Gulf Coast Basin,1008089,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.5,2.55,6,8760
Gulf Coast Basin - AAPG Province 220,1008936,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,433.5,3601.79,2236,8760
Dominion Energy Wexpro - Central Western Overthrust (Prod),1008170,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.7,182.4,196,4222
Ovintiv USA Inc. 355.Chautauqua Platform,1009115,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Paradox Upstream LLC 585 Paradox Basin,1010673,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.3,40.8,20,8760
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.9,88.31,47,8760
HighPoint Operating Corporation - Denver Basin (540),1009354,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.8,9.06,6,8760
220 Gulf Coast Basin DEC,1009238,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,92.1,1069,822,7457
Talisman Energy USA  Gulf Coast basin - 220,1008482,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.4,89.68,55,8333
Altas 220/Gulf Coast - Eagle Ford,1011546,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
North Shore E&P Sand Wash,1008136,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,30,31,4317.7
360 Anadarko Basin QEP Energy Company,1009285,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.9,45.8,24,8574
Anadarko Basin,1009845,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,4.41,10,2184
CRI 355 Chautauqua,1008469,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,5.24,6,349
YPC 535 Green River Basin,1008232,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,18.9,218.76,188,5446.7692308
Lime Rock Resources III-A  Williston Basin,1011873,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
San Juan Basin,1009242,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9,80.51,38,8760
Grizzly Anadarko Basin,1008200,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.6,110.7,60,8760
EagleRidge Operating  LLC. Fort Worth Syncline Basin,1011765,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,117.1,186.95,111,8760
XTO Energy Inc 350 South Oklahoma Folded Belt,1008616,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,13.34,10,6674.517
Enervest Operating  L.L.C. 580 San Juan Basin,1009694,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,26.5,572.04,279,8388.271828
Paxton Resources,1011962,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.7,7.47,8,4380
Oasis Petroleum,1010325,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Ovintiv USA Inc. 360.Anadarko Basin,1009260,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,8,5,8170
Rosewood 540 Denver Basin,1009488,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,4.14,2,8760
Chevron MCA 260 East Texas Basin,1009239,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,35.31,18,8760
Quicksilver Resources  Inc. 535-Green River Basin,1010795,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Unit Petroleum 285 Permian Basin,1009339,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.1,41.7,26,8600.9
SM Energy (Basin 430) Permian Basin,1009674,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Halcon Resources Corporation 210 Mid-Gulf Coast Basin,1011353,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.8,21.69,17,7728
Chevron MCA 507 Central Western Overthrust,1009051,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,24.3,107.57,73,8760
Amplify Energy Operating LLC 220 Gulf Coast Basin (LA  TX),1009862,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.4,41.92,24,8760
Chesapeake Operating LLC  360 - Anadarko Basin,1008530,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,21,1318.52,794,7599
Appalachian Basin - AAPG Province 160A,1008937,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,12.29,13,3800
Grizzly Arkoma Basin,1008199,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.8,10.4,5,8760
Bluefin Resources LLC 220 Gulf Coast Basin (LA  TX),1009837,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.7,36.68,21,8760
SK Plymouth LLC Anadarko Basin,1011752,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
SandRidge 375 Sedgwick Basin,1008807,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.4,226.11,131,8760
LAMBDA ENERGY RESOURCES  LLC-Michigan Basin,1008299,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.1,27.34,20,7346.66
Chevron MCA 595 Piceance Basin,1009241,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,1.67,1,8760
Atlas 160/Appalachia Basin - Ohio,1008483,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,3.31,2,8470
Indigo Resources LLC,1011848,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,39.4,542.3,273,8700
Samson Resources 535 Green River Basin,1008852,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,25.6,279.1,225,6047
Los Angeles Basin 760 THUMS Long Beach Company,1008409,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Rice Drilling B  LLC - Basin 160A,1011861,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
ConocoPhillips Alaska Inc - KRU-ALP Fields,1008111,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
MAVERICK- BASIN 305 PRODUCTION,1010320,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.9,58.8,31,8760
XTO Energy Inc 575 Uintah,1009389,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,24.7,2177.77,1113,8485.7320665
Whiting Oil and Gas Corporation 507 Central Western Overthrust,1009183,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.5,100.01,55,7966
Sage Natural Resources 420 Fort Worth Syncline,1011684,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,21.3,168.2,150,8760
EOG Resources  Inc. 360 Anadarko basin,1008352,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.6,284.2,172,8147
Enervest Operating  L.L.C. 260 East Texas Basin,1009659,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Jonah Energy LLC_AAPG 535_Green River Basin,1011450,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.8,669.4,545,5340.9908257
Linn Energy 745 San Joaquin Basin Production Segment,1011419,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Ovintiv USA Inc. 350.South Oklahoma Folded Belt,1008134,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.4,13.3,9,8174
EOG Resources  Inc. 415 Strawn basin,1008114,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,123.2,1857.8,929,8713
Unit Petroleum 377 Arkoma Basin,1009340,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,16.7,191.3,91,8760
Chesapeake Appalachia LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008523,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.6,714.92,407,7759
Sabine Oil & Gas LLC 260 East Texas Basin,1009584,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,23.1,500.7,503,4380
Houston Counties Oil and Gas Production Facilities,1012030,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.2,72.71,67,8760
Basin 595 Piceance - Noble Energy Inc.,1008328,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.4,11.92,6,8760
Lewis Energy Group,1009588,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,7.1,4,8760
Central Western Overthrust - AAPG Province 507,1008264,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,33.9,1172.93,634,8760
Unit Petroleum 145 Chautauqua Platform Basin,1008244,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Nine Point Energy  LLC,1010505,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Diamondback E&P LLC,1009434,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Laredo Energy 220 Gulf Basin (LA  TX),1009683,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.7,5.24,3,8760
430 Permian Basin DEC,1008290,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,47.9,368.2,269,7767
Amplify Energy Operating 260 East Texas Basin,1010839,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,23.4,181.65,104,8760
Gulf Coast Facility,1008714,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,0,0,0
Nadel and Gussman Ruston Arkla Basin No. 230,1009686,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.3,129.2,65,8760
Basin 430 West Texas - OSP,1008642,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.3,1.56,1,8760
Atlas 420/Fort Worth Syncline Basin - Jacksboro,1010237,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1,46.08,31,8008
White Knight 420 Fort Worth Syncline,1012014,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,29.5,228.81,131,8760
Lindsay Field Office,1011666,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1,32.3,20,8760
