EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC1OR2.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC1OR2.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC1OR2.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC1OR2.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC1OR2.CALCULATION_METHOD,EF_W_ATM_STG_TANKS_CALC1OR2.SOFTWARE_PACKAGE_USED,EF_W_ATM_STG_TANKS_CALC1OR2.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC1OR2.TOTAL_VOLUME_OF_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_TEMPERATURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_PRESSURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_A_P_I_GRAVITY,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_GAS_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.NUMBER_OF_WELLS_SEND_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.NOT_ON_WELL_PAD_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CO2_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CH4_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VENT_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_VENTING_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_FLARED,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_FLARING,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_N2O_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.NUM_SEPS_WITH_STUCK_DUMP_VAL,EF_W_ATM_STG_TANKS_CALC1OR2.HRS_DUMP_VALVES_DID_NOT_CLOSE,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.API_WELL_NUMBERS
BreitBurn Florida LLC,1010765,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],140 - COLLIER  FL (21) - Oil,,Calculation Methodology 1,E&P Tanks,No,129364,75,12,24.2,.017,.017,.0545,.0545,2,7,0,Yes,7,2.121,7.86,.111,.4137,No,,,,No,,,,,,,,,
BreitBurn Florida LLC,1010765,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],140 - LEE  FL (71) - Oil,,Calculation Methodology 1,E&P Tanks,No,52654,75,20,25.8,.017,.017,.0545,.0545,1,2,0,Yes,2,.8506243,3.1792758,.0448,.1673,No,,,,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - WAYNE  OH (169) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4278.9,60,70,43.78,.0087,.0087,.35,.35,1,2,0,No,,,,,,Yes,2,0,.993,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - CRAWFORD  PA (39) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,3712.1,152,152,51,.0035,.0035,.36,.36,1,2,0,No,,,,,,Yes,2,.437,.624,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - FAIRFIELD  OH (45) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4027.1,70,70,51,.0035,.0035,.36,.36,1,1,0,No,,,,,,Yes,2,.417,.673,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - STARK  OH (151) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4406,60,70,43.78,.0087,.0087,.35,.35,1,2,0,No,,,,,,Yes,2,0,1.027,No,,,,,,,,,
Antero Resources - 160 - Appalachian Basin (Utica),1010718,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 1,Promax,No,2393590.6153936,65.9859155,11.9014085,72.4890161,.000022,.001143,.000966,.082209,71,114,0,No,,,,,,No,,,,Yes,114,40786.6,.8798314,.0658083,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4573,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,15.1218352,5.5197573,0,0,No,0,0,0,Yes,6,.0058132,.0021219,.0000016,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4817,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,15.9286858,5.8142731,0,0,No,0,0,0,Yes,6,.0061234,.0022351,.0000016,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,3700,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,12.2350296,4.4660184,0,0,No,0,0,0,Yes,6,.0047034,.0017168,.0000013,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,6081,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,20.1084364,7.3399616,0,0,No,0,0,0,Yes,6,.0077301,.0028216,.0000021,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4873,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,16.1138646,5.8818669,0,0,No,0,0,0,Yes,6,.0061945,.0022611,.0000017,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,10236,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,33.848044,12.3551796,0,0,No,0,0,0,Yes,6,.013012,.0047496,.0000035,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,64134,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,212.0760505,77.4117903,0,0,No,0,0,0,Yes,8,.0815269,.0297589,.0000218,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,51356,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,169.8222105,61.9883354,0,0,No,0,0,0,Yes,8,.0652836,.0238297,.0000175,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,67103,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,221.893835,80.9954683,0,0,No,0,0,0,Yes,8,.0853011,.0311365,.0000228,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,21924,70,0,0,0,0,.3652018,.3652018,6,6,0,No,0,0,0,0,0,No,0,0,0,Yes,0,.5573941,.2034595,.0001493,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,16957,70,0,0,0,0,.3652018,.3652018,6,6,0,No,0,0,0,0,0,No,0,0,0,Yes,0,.4311135,.1573646,.0001155,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,34090,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,112.7276103,41.1477209,0,0,No,0,0,0,Yes,6,.0433351,.0158181,.0000116,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,16666,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,55.1105413,20.1163953,0,0,No,0,0,0,Yes,6,.0211858,.0077332,.0000057,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,17585,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,58.1494581,21.2256577,0,0,No,0,0,0,Yes,6,.022354,.0081596,.000006,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,26199,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,86.6339297,31.6230314,0,0,No,0,0,0,Yes,8,.0333041,.0121566,.0000089,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,29718,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,98.2704348,35.870577,0,0,No,0,0,0,Yes,8,.0377774,.0137895,.0000101,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,40018,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,132.3301118,48.3030066,0,0,No,0,0,0,Yes,8,.0508707,.0185688,.0000136,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,31496,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,104.1498626,38.0166799,0,0,No,0,0,0,Yes,8,.0400376,.0146145,.0000107,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,34215,70,0,0,0,0,.3652018,.3652018,8,8,0,Yes,8,113.1409559,41.2985999,0,0,No,0,0,0,Yes,8,.043494,.0158761,.0000116,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,27528,70,389,0,0,0,.3652018,.3652018,6,6,0,Yes,6,91.02862,33.2271769,0,0,No,0,0,0,Yes,6,.0349935,.0127733,.0000094,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,31807,70,389,0,0,0,.3652018,.3652018,6,6,0,Yes,6,105.1782664,38.3920668,0,0,No,0,0,0,Yes,6,.0404329,.0147588,.0000108,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,29719,70,389,0,0,0,.3652018,.3652018,6,6,0,Yes,6,98.2737416,35.871784,0,0,No,0,0,0,Yes,6,.0377787,.0137899,.0000101,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,24047,70,389,0,0,0,.3652018,.3652018,6,6,0,Yes,6,79.5177719,29.0254985,0,0,No,0,0,0,Yes,6,.0305685,.0111581,.0000082,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,9059,70,425,0,0,0,.3652018,.3652018,10,10,0,Yes,10,29.9559819,10.9345029,0,0,No,0,0,0,Yes,10,.0115158,.0042035,.0000031,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,6755,70,425,0,0,0,.3652018,.3652018,10,10,0,Yes,10,22.3371959,8.1535012,0,0,No,0,0,0,Yes,10,.0085869,.0031344,.0000023,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4820,70,425,0,0,0,.3652018,.3652018,10,10,0,Yes,10,15.9386061,5.8178942,0,0,No,0,0,0,Yes,10,.0061272,.0022365,.0000016,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,0,0,0,0,0,0,.3652018,.3652018,2,2,0,No,0,0,0,0,0,No,0,0,0,Yes,0,0,0,0,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - PIKE  KY (195) - Shale gas,,Calculation Methodology 1,E&P Tanks,No,14640.15,70,44,66.4,.000673,.000673,.304647,.304647,6,7,0,No,,,,,,No,,,,Yes,7,1.5195387,.0037212,.0000012,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - PORTAGE  OH (133) - Shale gas,,Calculation Methodology 2,,No,304,0,0,0,.00551,.00551,.26028,.26028,6,6,0,No,0,0,0,0,0,No,0,0,0,Yes,0,.002081,.0007596,.0000008,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - TUSCARAWAS  OH (157) - Shale gas,,Calculation Methodology 2,,No,303,0,0,0,.00196,.00196,.17878,.17878,2,2,0,No,0,0,0,0,0,No,0,0,0,Yes,0,.0022795,.0008321,.0000012,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - TUSCARAWAS  OH (157) - Shale gas,,Calculation Methodology 1,E&P Tanks ,No,18987.3,82,61,37.71,.001,.001,.017,.017,1,4,0,Yes,4,.318,1.348,.073,.015,No,,,,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - STARK  OH (151) - Other tight reservoir rock,,Calculation Methodology 1,E&P Tanks ,No,7964.5,60,40,43,.0038,.0038,.504,.504,1,3,0,Yes,3,0,1.609,0,.08,No,,,,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - TUSCARAWAS  OH (157) - Other tight reservoir rock,,Calculation Methodology 1,E&P Tanks ,No,6524.2,60,40,43,.0038,.0038,.504,.504,1,3,0,Yes,3,0,1.32,0,.066,No,,,,No,,,,,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,,Calculation Methodology 1,E&P Tanks,No,66284,125,80,49.01,0,0,.127441,.127441,7,30,0,No,,,,,,No,,,,Yes,30,744.7401901,.6466091,.0005151,,,,,
Gulfport Energy Corp,1011239,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,,Calculation Methodology 1,E&P Tanks,No,966540,65,25,50,.000136,.00014,.010287,.010622,12,21,0,Yes,21,0,3.7,0,0,No,,,,Yes,21,2858.2,.1,0,,,,,
Rex Energy Corporation Appalachian Basin (160) Operations,1008509,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,,Calculation Methodology 1,E&P Tank,No,246431,114,43,69.26,.00015,.00015,.00198,.00198,11,11,0,Yes,11,19.1863027,.375887,.3837261,.0075177,No,,,,No,,,,,,,,,
Ascent Resources - Utica (160),1011393,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,,Calculation Methodology 1,EP Tank v2.0,No,2192988,191,31,52.03,0,0,.003,.003,25,50,0,No,,,,,,No,,,,Yes,50,61835.1187704,.316114,.1074,,,,,
Range Resources - Appalachia  LLC- Basin 160,1008918,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - CRAWFORD  PA (39) - Other tight reservoir rock,,Calculation Methodology 2,,No,7100,,,38,.002356,.002356,.293059,.293059,1,3,0,No,,,,,,Yes,3,.02,.89,No,,,,,,,,,
Hess Corporation - 160A - Utica Basin,1011181,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,,Calculation Methodology 2,,No,202866,100,914.7,68,.0005,.0005,.0923,.0923,9,12,0,Yes,12,2.2857697,2.2935888,0,0,No,0,,,Yes,12,4530.9341461,.9797918,.0033458,,,,,
XTO Energy Inc 160A Appalachian E Overthrust,1008116,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,,Calculation Methodology 2,,No,5187.8545,70,700,56.1,.00191,.00191,.2689,.2689,1,1,0,No,,,,,,Yes,1,0,.14,No,,,,,,,,,
Gulfport Energy Appalachian Basin 160-A Eastern Overthrust Region,1011706,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - BELMONT  OH (13) - Shale gas,,Calculation Methodology 1,E&P Tanks,No,41901,65,25,50,.000138,.000148,.0105,.011401,9,8,0,Yes,6,0,.066576,0,0,No,,,,Yes,8,131.638494,.0033908,.0002183,,,,,
Enervest Operating  L.L.C. 160A Appalachian Basin (Eastern Overthrust area),1009932,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CARROLL  OH (19) - Shale gas,,Calculation Methodology 1,E&P tanks,No,9143.9,82,61,46,.0011,.0011,.017,.017,1,3,0,Yes,3,.482,2.038,.0241,.102,No,,,,No,,,,,,,,,
Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,1011308,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CARROLL  OH (19) - Shale gas,,Calculation Methodology 1,E&P Tank,No,269086,129.5,30,63.41,.00015,.00039,.00023,.00024,9,15,0,Yes,15,0,12.1468629,0,.2429373,No,,,,Yes,15,1726.1148409,.3578529,.0027996,,,,,
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - CARROLL  OH (19) - Shale gas,,Calculation Methodology 1,ProMax,No,251732.7,94,13.12,67.89,.00542,.02023,.14129,.16951,32,23,0,No,,,,,,No,,,,Yes,23,575.55925,.2113,.00048,,,,,
Chesapeake Exploration LLC  160A - Appalachian Basin (Eastern Overthrust Area),1008524,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160A - COLUMBIANA  OH (29) - Shale gas,,Calculation Methodology 1,ProMax,No,192791.71,87.27,29.09,66.33,.00542,.0171,.14129,.60127,19,31,0,No,,,,,,No,,,,Yes,31,501.66456,.35153,.00045,,,,,
