EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC1OR2.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC1OR2.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC1OR2.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC1OR2.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC1OR2.CALCULATION_METHOD,EF_W_ATM_STG_TANKS_CALC1OR2.SOFTWARE_PACKAGE_USED,EF_W_ATM_STG_TANKS_CALC1OR2.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC1OR2.TOTAL_VOLUME_OF_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_TEMPERATURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_PRESSURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_A_P_I_GRAVITY,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_GAS_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.NUMBER_OF_WELLS_SEND_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.NOT_ON_WELL_PAD_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CO2_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CH4_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VENT_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_VENTING_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_FLARED,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_FLARING,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_N2O_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.NUM_SEPS_WITH_STUCK_DUMP_VAL,EF_W_ATM_STG_TANKS_CALC1OR2.HRS_DUMP_VALVES_DID_NOT_CLOSE,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.API_WELL_NUMBERS
TPIC Basin 220,1006770,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST CHARLES  LA (89) - Oil,,Calculation Methodology 2,,No,77745,123.8888888889,0,36.5555555556,.0068,.011,.4425,.8093,9,9,0,No,0,0,0,0,0,Yes,9,1.4,33.5697006637,No,0,0,0,0,,,,,
GULF COAST BASIN,1010222,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST CHARLES  LA (89) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,85288,77,32.5,43.81,.0390644,.0390644,.7981991,.7981991,8,8,0,No,,,,,,Yes,8,.4570171,3.4039802,No,,,,,,,,,
TPIC Basin 220,1006770,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST HELENA  LA (91) - Oil,,Calculation Methodology 2,,No,27740,127,0,32,.0084,.0108,.2998,.6798,10,10,0,No,0,0,0,0,0,Yes,10,3.2,96.1419000401,No,0,0,0,0,,,,,
BOC 220 Gulf Coast Basin Onshore,1008548,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST HELENA  LA (91) - Oil,,Calculation Methodology 2,,No,45878,81,32,42,.0687898,.0687898,.5837863,.5837863,0,0,0,No,,,,,,No,,,,Yes,4,21.1,.1,0,,,,,
Goodrich Petroleum  Basin 220 (Gulf Coast Basin),1010684,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST HELENA  LA (91) - Oil,,Calculation Methodology 1,E&P Tanks 2.0,No,40399,120,40,41.07,.0085,.0085,.72632,.72632,3,9,0,No,,,,,,No,,,,Yes,9,53.6,.1824,.0008,,,,,
Encana Oil & Gas - Gulf Coast Basin,1008090,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST HELENA  LA (91) - Oil,,Calculation Methodology 1,ACTS,No,28168.8,80,40,43.49,.035399,.037513,.011621,.013797,3,2,0,No,,,,,,No,,,,Yes,2,515,0,0,,,,,
GULF COAST BASIN,1010222,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST JAMES  LA (93) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,30813,77,32.5,43.81,.0390644,.0390644,.7981991,.7981991,4,4,0,No,,,,,,Yes,4,.165112,1.229796,No,,,,,,,,,
White Oak Energy 220 Gulf Coast Basin (LA  TX),1009783,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST MARTIN  LA (99) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,143328,103.5,30,40.405,.011054,.0390644,.0575772,.7981991,41,8,0,No,,,,,,Yes,2,.4856064,.9220186,Yes,6,13.6124166,.0685957,.0000249,,,,,
GULF COAST BASIN,1010222,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST MARTIN  LA (99) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,284162,77,32.5,43.81,.0390644,.0390644,.7981991,.7981991,10,10,0,No,,,,,,Yes,10,1.5226867,11.3413589,No,,,,,,,,,
TPIC Basin 220,1006770,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST MARY  LA (101) - Oil,,Calculation Methodology 2,,No,179669,125,0,33,.0087,.0087,.8008,.8008,34,34,0,No,0,0,0,0,0,Yes,34,4.2,24.1677,No,0,0,0,0,,,,,
