EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
Tanos Exploration II  LLC Arkla Basin  AAPG 230,1007486,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIENVILLE  LA (13),Other tight reservoir rock,230 - BIENVILLE  LA (13) - Other tight reservoir rock,,342,.92639
Tanos Exploration II  LLC Arkla Basin  AAPG 230,1007486,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLAIBORNE  LA (27),Oil,230 - CLAIBORNE  LA (27) - Oil,12.49,1,.92639
Tanos Exploration II  LLC Arkla Basin  AAPG 230,1007486,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WEBSTER  LA (119),Other tight reservoir rock,230 - WEBSTER  LA (119) - Other tight reservoir rock,,157,.92639
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIENVILLE  LA (13),High permeability gas,230 - BIENVILLE  LA (13) - High permeability gas,,1,.958
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  LA (17),High permeability gas,230 - CADDO  LA (17) - High permeability gas,,39,.851
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLAIBORNE  LA (27),High permeability gas,230 - CLAIBORNE  LA (27) - High permeability gas,,13,.9204
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DE SOTO  LA (31),High permeability gas,230 - DE SOTO  LA (31) - High permeability gas,,342,.912
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,JACKSON  LA (49),High permeability gas,230 - JACKSON  LA (49) - High permeability gas,,0,.9458
Indigo Minerals  LLC,1007599,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WEBSTER  LA (119),High permeability gas,230 - WEBSTER  LA (119) - High permeability gas,,9,.82
EP Energy E&P 430 Permian Basin,1007777,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CROCKETT  TX (105),Oil,430 - CROCKETT  TX (105) - Oil,14900.0850317,187,.56044
EP Energy E&P 430 Permian Basin,1007777,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,IRION  TX (235),Oil,430 - IRION  TX (235) - Oil,28217.5372691,26,.56134
EP Energy E&P 430 Permian Basin,1007777,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,REAGAN  TX (383),Oil,430 - REAGAN  TX (383) - Oil,7114.7264736,47,.50704
BADAMI DEVELOPMENT FACILITY,1007807,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEECHEY POINT  AK (29),Oil,890 - BEECHEY POINT  AK (29) - Oil,2.1,8,.832
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BLAINE  OK (11),Other tight reservoir rock,360 - BLAINE  OK (11) - Other tight reservoir rock,,3,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  OK (15),Other tight reservoir rock,360 - CADDO  OK (15) - Other tight reservoir rock,,7,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CANADIAN  OK (17),Other tight reservoir rock,360 - CANADIAN  OK (17) - Other tight reservoir rock,,2,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CUSTER  OK (39),Oil,360 - CUSTER  OK (39) - Oil,11616.9,2,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CUSTER  OK (39),Other tight reservoir rock,360 - CUSTER  OK (39) - Other tight reservoir rock,,7,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),Oil,360 - DEWEY  OK (43) - Oil,5747.9,7,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),Other tight reservoir rock,360 - DEWEY  OK (43) - Other tight reservoir rock,,12,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),Oil,360 - GRADY  OK (51) - Oil,4519.6,32,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),Other tight reservoir rock,360 - GRADY  OK (51) - Other tight reservoir rock,,45,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,KINGFISHER  OK (73),Oil,360 - KINGFISHER  OK (73) - Oil,6820.9,3,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),Other tight reservoir rock,360 - MAJOR  OK (93) - Other tight reservoir rock,,6,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROGER MILLS  OK (129),Oil,360 - ROGER MILLS  OK (129) - Oil,4584.4,8,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROGER MILLS  OK (129),Other tight reservoir rock,360 - ROGER MILLS  OK (129) - Other tight reservoir rock,,1,.71549
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHITA  OK (149),Other tight reservoir rock,360 - WASHITA  OK (149) - Other tight reservoir rock,,4,.71549
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ALLEGHENY  PA (3),Other tight reservoir rock,160A - ALLEGHENY  PA (3) - Other tight reservoir rock,,2,.962313
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ALLEGHENY  PA (3),Shale gas,160A - ALLEGHENY  PA (3) - Shale gas,,25,.962313
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ARMSTRONG  PA (5),Other tight reservoir rock,160A - ARMSTRONG  PA (5) - Other tight reservoir rock,,353,.731032
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BRADFORD  PA (15),High permeability gas,160A - BRADFORD  PA (15) - High permeability gas,,1,.9558982
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BUCHANAN  VA (27),Coal seam,160A - BUCHANAN  VA (27) - Coal seam,,352,.96614
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BUCHANAN  VA (27),Other tight reservoir rock,160A - BUCHANAN  VA (27) - Other tight reservoir rock,,136,.944
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BUCHANAN  VA (27),Shale gas,160A - BUCHANAN  VA (27) - Shale gas,,2,.95507
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BUTLER  PA (19),Shale gas,160A - BUTLER  PA (19) - Shale gas,,7,.955025
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CENTRE  PA (27),High permeability gas,160A - CENTRE  PA (27) - High permeability gas,,1,.949402
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CENTRE  PA (27),Other tight reservoir rock,160A - CENTRE  PA (27) - Other tight reservoir rock,,24,.972259
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CENTRE  PA (27),Shale gas,160A - CENTRE  PA (27) - Shale gas,,1,.972419
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLEARFIELD  PA (33),Other tight reservoir rock,160A - CLEARFIELD  PA (33) - Other tight reservoir rock,,130,.971826
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLINTON  PA (35),Other tight reservoir rock,160A - CLINTON  PA (35) - Other tight reservoir rock,,6,.977625
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DICKENSON  VA (51),Coal seam,160A - DICKENSON  VA (51) - Coal seam,,1364,.95386
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DICKENSON  VA (51),Other tight reservoir rock,160A - DICKENSON  VA (51) - Other tight reservoir rock,,648,.95838
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DICKENSON  VA (51),Shale gas,160A - DICKENSON  VA (51) - Shale gas,,40,.91914
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FAYETTE  PA (51),High permeability gas,160A - FAYETTE  PA (51) - High permeability gas,,1,.968537
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FAYETTE  PA (51),Other tight reservoir rock,160A - FAYETTE  PA (51) - Other tight reservoir rock,,321,.960657
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GREENE  PA (59),High permeability gas,160A - GREENE  PA (59) - High permeability gas,,4,.966632
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GREENE  PA (59),Other tight reservoir rock,160A - GREENE  PA (59) - Other tight reservoir rock,,13,.968615
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,INDIANA  PA (63),Other tight reservoir rock,160A - INDIANA  PA (63) - Other tight reservoir rock,,310,.962801
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,JEFFERSON  PA (65),Other tight reservoir rock,160A - JEFFERSON  PA (65) - Other tight reservoir rock,,16,.962801
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LYCOMING  PA (81),Shale gas,160A - LYCOMING  PA (81) - Shale gas,,151,.974079
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MC KEAN  PA (83),Shale gas,160A - MC KEAN  PA (83) - Shale gas,,1,.837219
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MERCER  PA (85),Other tight reservoir rock,160A - MERCER  PA (85) - Other tight reservoir rock,,153,.917087
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RUSSELL  VA (167),Coal seam,160A - RUSSELL  VA (167) - Coal seam,,163,.9669
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RUSSELL  VA (167),Other tight reservoir rock,160A - RUSSELL  VA (167) - Other tight reservoir rock,,35,.95245
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,VENANGO  PA (121),Other tight reservoir rock,160A - VENANGO  PA (121) - Other tight reservoir rock,,1021,.9326345
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,VENANGO  PA (121),Shale gas,160A - VENANGO  PA (121) - Shale gas,,1,.9326345
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WARREN  PA (123),Other tight reservoir rock,160A - WARREN  PA (123) - Other tight reservoir rock,,211,.927046
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHINGTON  PA (125),High permeability gas,160A - WASHINGTON  PA (125) - High permeability gas,,1,.90516
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHINGTON  PA (125),Shale gas,160A - WASHINGTON  PA (125) - Shale gas,,712,.843609
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WESTMORELAND  PA (129),Other tight reservoir rock,160A - WESTMORELAND  PA (129) - Other tight reservoir rock,,338,.968537
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WESTMORELAND  PA (129),Shale gas,160A - WESTMORELAND  PA (129) - Shale gas,,0,.968537
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WISE  VA (195),Coal seam,160A - WISE  VA (195) - Coal seam,,137,.92484
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WISE  VA (195),Other tight reservoir rock,160A - WISE  VA (195) - Other tight reservoir rock,,62,.94301
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WISE  VA (195),Shale gas,160A - WISE  VA (195) - Shale gas,,3,.93503
Own Resources Operating LLC,1008053,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,YUMA  CO (125),Shale gas,540 - YUMA  CO (125) - Shale gas,,984,.9390082
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ALPENA  MI (7),Shale gas,305 - ALPENA  MI (7) - Shale gas,,46,.92655
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ANTRIM  MI (9),Shale gas,305 - ANTRIM  MI (9) - Shale gas,,77,.92831
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ARENAC  MI (11),Oil,305 - ARENAC  MI (11) - Oil,0,0,0
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BAY  MI (17),Oil,305 - BAY  MI (17) - Oil,0,0,0
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BENZIE  MI (19),Shale gas,305 - BENZIE  MI (19) - Shale gas,,12,.913076
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CALHOUN  MI (25),Oil,305 - CALHOUN  MI (25) - Oil,8834.01419,3,.703172
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CRAWFORD  MI (39),Oil,305 - CRAWFORD  MI (39) - Oil,0,1,.703172
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GLADWIN  MI (51),Oil,305 - GLADWIN  MI (51) - Oil,379.96,2,.703172
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRAND TRAVERSE  MI (55),Oil,305 - GRAND TRAVERSE  MI (55) - Oil,3042,2,.8022475
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,INGHAM  MI (65),Oil,305 - INGHAM  MI (65) - Oil,6349,1,.703172
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,KALKASKA  MI (79),Oil,305 - KALKASKA  MI (79) - Oil,0,1,.00038
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,KALKASKA  MI (79),Shale gas,305 - KALKASKA  MI (79) - Shale gas,,1,.913076
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MANISTEE  MI (101),Oil,305 - MANISTEE  MI (101) - Oil,1636.3,18,.80228
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MIDLAND  MI (111),Oil,305 - MIDLAND  MI (111) - Oil,0,0,0
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MONTMORENCY  MI (119),Shale gas,305 - MONTMORENCY  MI (119) - Shale gas,,171,.75896
Jordan Development Company  LLC,1008066,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,OTSEGO  MI (137),Shale gas,305 - OTSEGO  MI (137) - Shale gas,,65,.83999
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BIG HORN  WY (3),Oil,520 - BIG HORN  WY (3) - Oil,1365.99,223,.5867
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HOT SPRINGS  WY (17),Oil,520 - HOT SPRINGS  WY (17) - Oil,365,195,.273
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,PARK  WY (29),High permeability gas,520 - PARK  WY (29) - High permeability gas,,47,.4385
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,PARK  WY (29),Oil,520 - PARK  WY (29) - Oil,1294.66,426,.3156
XTO Energy Inc 507 Central Western Overthrust,1008078,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LINCOLN  WY (23),High permeability gas,507 - LINCOLN  WY (23) - High permeability gas,,1,.626916
XTO Energy Inc 507 Central Western Overthrust,1008078,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LINCOLN  WY (23),Other tight reservoir rock,507 - LINCOLN  WY (23) - Other tight reservoir rock,,203,.9250869
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ANDERSON  TX (1),Other tight reservoir rock,260 - ANDERSON  TX (1) - Other tight reservoir rock,,3,.949371
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ANGELINA  TX (5),Other tight reservoir rock,260 - ANGELINA  TX (5) - Other tight reservoir rock,,1,.917112
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CHEROKEE  TX (73),Oil,260 - CHEROKEE  TX (73) - Oil,39.1316,1,.74403
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CHEROKEE  TX (73),Other tight reservoir rock,260 - CHEROKEE  TX (73) - Other tight reservoir rock,,87,.9761319
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FRANKLIN  TX (159),Oil,260 - FRANKLIN  TX (159) - Oil,19.21675,138,.8270877
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FRANKLIN  TX (159),Other tight reservoir rock,260 - FRANKLIN  TX (159) - Other tight reservoir rock,,24,.4990327
XTO Energy Inc 260 East Texas,1008079,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FREESTONE  TX (161),Oil,260 - FREESTONE  TX (161) - Oil,39.1316,1,.861257
