EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
ConocoPhillips Permian (430),1007479,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,63027640,57059430,10712495.2,,,,,,
ConocoPhillips' Uinta (575),1007481,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],575 - Uinta Basin,22376976.41,21837086.42,0,,,,,,
ConocoPhillips' Williston (395),1007482,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],395 - Williston Basin,39338351.25,30258080.94,27384031,,,,,,
ConocoPhillips' Wind River (530),1007483,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],530 - Wind River Basin,105466828.11,87216069.24,11444,,,,,,
San Juan Basin (580),1007484,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],580 - San Juan Basin,384823669.725,364415636.668,725130.47,,,,,,
ConocoPhillips Gulf Coast Basin 220  Production,1007485,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],220 - Gulf Coast Basin (LA  TX),163942824.5337425,160213234.136,49379525.56,,,,,,
Tanos Exploration II  LLC Arkla Basin  AAPG 230,1007486,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,11627636,11627636,58782,,,,,,
Indigo Minerals  LLC,1007599,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],230 - Arkla Basin,42435000,40134000,237676,,,,,,
EP Energy E&P 430 Permian Basin,1007777,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],430 - Permian Basin,16705971.7359001,11997845.57,3291797.808,,,,,,
BADAMI DEVELOPMENT FACILITY,1007807,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],890 - Arctic Coastal Plains Province,577067,0,349693,,,,,,
Basin 360 Oil & Gas Production,1008029,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],360 - Anadarko Basin,4828511,4828511,476047,,,,,,
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],160A - Appalachian Basin (Eastern Overthrust Area),465581926,463289891,4073718,,,,,,
Own Resources Operating LLC,1008053,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],540 - Denver Basin,7756780,7756780,66.12,,,,,,
Jordan Development Company  LLC,1008066,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],305 - Michigan Basin,7017122,4156149,110999,,,,,,
Marathon Oil Cody - Big Horn Basin (AAPG Basin Number 520),1008071,2015,Table AA.1.i,Onshore petroleum and natural gas production: Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],520 - Big Horn Basin,2207504,1166616,3615258.76,,,,,,
