914,1982
8621,1069
64,2546
659,606
7278,2686
103,184
1695,2048
91,964
209,715
1534,1011
611,573
1296,2873
64,4698
915,643
1998,4252
56,4051
993,2482
237,650
58,1963
1325,528
428,4238
312,6570
129,2389
215,7509
549,3893
9674,30
11678,50
11783,50
4703,50
3641,50
5612,2
4008,2
16852,2
8057,5
3937,2
4737,3
14069,6
8289,3
6459,1
8290,13
6083,10
11958,12
6272,8
14570,8
21255,4
1665,5
993,6
6744,16
1220,1
1261,11
22364,3
8101,2
2663,15
21060,8
4805,2
759,10
4279,2
403,1
1311,2
1245,10
1862,10
223,7
18277,2
47119,3
18724,15
26668,1
49273,11
15834,39
4313,20
8622,24
4398,24
3534,24
3964,52
10542,12
